X,Y,OBJECTID,LOCATION,MAG,DEPTH,DATUM
6.745000003978942,53.192000005846147,1057,Kolham,1.6,3,2014-05-17T00:00:00.000Z
6.940000005039511,53.277000006475362,1058,Meedhuizen,1,3,2014-05-19T00:00:00.000Z
6.763000004819233,53.207000006700667,1059,Woudbloem,1.2,3,2014-06-12T00:00:00.000Z
6.752000004936529,53.191000005843293,1060,Kolham,0.8,3,2014-06-12T00:00:00.000Z
6.710000004518959,53.349000006328552,1061,Westeremden,1.8,3,2014-06-16T00:00:00.000Z
6.822000004737999,53.213000006691708,1062,Slochteren,0.7,3,2014-06-29T00:00:00.000Z
6.917000004721656,53.275000006681296,1063,Meedhuizen,1.3,3,2014-07-02T00:00:00.000Z
6.790000004367457,53.214000006005676,1064,Slochteren,2.1,3,2014-07-02T00:00:00.000Z
6.618000005004784,53.185000006091585,1065,Haren,0.9,3,2014-07-06T00:00:00.000Z
6.688000005046523,53.240000006254391,1066,Zevenhuizen,1.2,3,2014-07-07T00:00:00.000Z
6.752000003742917,53.269000005962141,1067,Woltersum,1,3,2014-07-07T00:00:00.000Z
6.707000003795384,53.244000006453675,1068,Lageland,1.2,3,2014-07-08T00:00:00.000Z
6.827000004803137,53.215000005951232,1069,Slochteren,0.7,3,2014-07-15T00:00:00.000Z
6.862000004536436,53.249000005860189,1070,Siddeburen,0.9,3,2014-07-22T00:00:00.000Z
6.835000004218595,53.323000006025893,1071,Oosterwijtwerd,1.3,3,2014-08-09T00:00:00.000Z
6.835000005112598,53.325000006219902,1072,Oosterwijtwerd,2,3,2014-08-09T00:00:00.000Z
6.725000003899316,53.376000006706867,1073,Garsthuizen,1.2,3,2014-08-19T00:00:00.000Z
6.727000003824113,53.373000006372806,1074,Garsthuizen,1.2,3,2014-08-21T00:00:00.000Z
6.782000004658099,53.230000006418635,1075,Slochteren,0.8,3,2014-08-25T00:00:00.000Z
6.625000005081567,53.236000005916104,1076,Garmerwolde,0.5,3,2014-09-01T00:00:00.000Z
6.787000003881455,53.194000006307597,1077,Froombosch,2.6,3,2014-09-01T00:00:00.000Z
6.813000005150887,53.197000005990446,1078,Froombosch,1.6,3,2014-09-01T00:00:00.000Z
6.720000005161372,53.240000006077288,1079,Lageland,1.4,3,2014-09-23T00:00:00.000Z
6.728000003957174,53.242000005956434,1080,Lageland,1,3,2014-09-23T00:00:00.000Z
6.693000004740348,53.351000006142122,1081,Huizinge,1,3,2014-09-24T00:00:00.000Z
6.937000004967848,53.276000006031893,1082,Meedhuizen,1.5,3,2014-09-25T00:00:00.000Z
6.6550000041585,53.258000006742542,1083,Garmerwolde,2.8,3,2014-09-30T00:00:00.000Z
6.747000004513357,53.358000006079791,1084,Zeerijp,1.5,3,2014-10-21T00:00:00.000Z
6.678000004423931,53.374000006338051,1085,Zandeweer,2.9,3,2014-11-05T00:00:00.000Z
6.60200000480026,52.937000005810191,1086,Amen,2,3,2014-11-11T00:00:00.000Z
6.863000004030291,53.228000006029148,1087,Hellum,0.9,3,2014-11-16T00:00:00.000Z
6.762000004259101,53.228000006358386,1088,Woudbloem,0.6,3,2014-11-16T00:00:00.000Z
6.698000004338692,53.355000006740198,1089,Huizinge,1.3,3,2014-11-22T00:00:00.000Z
6.840000004165953,53.331000006111879,1090,Oosterwijtwerd,1,3,2014-11-29T00:00:00.000Z
6.672000003995183,53.360000006667164,1091,Huizinge,1.4,3,2014-11-30T00:00:00.000Z
6.832000004913422,53.190000006581343,1092,Noordbroek,0.9,3,2014-12-03T00:00:00.000Z
6.672000004134049,53.237000006336928,1093,Zevenhuizen,1.1,3,2014-12-05T00:00:00.000Z
6.753000004732758,53.350000006227617,1094,Zeerijp,1.3,3,2014-12-28T00:00:00.000Z
6.728000005116206,53.208000006257222,1095,Woudbloem,2.8,3,2014-12-30T00:00:00.000Z
6.753000003908205,53.239000006637873,1096,Luddeweer,0.8,3,2014-12-30T00:00:00.000Z
6.768000005019097,53.324000006614824,1097,Wirdum,2.7,3,2015-01-06T00:00:00.000Z
6.937000005339222,53.322000006632962,1098,Farmsum,1,3,2015-01-06T00:00:00.000Z
6.797000004253859,53.1710000064299,1099,Sappemeer,1.5,3,2015-01-11T00:00:00.000Z
6.848000004959341,53.257000005905716,1100,Steendam,1.1,3,2015-01-14T00:00:00.000Z
6.548000003646822,52.992000006207171,1,Assen,2.8,1,1986-12-26T00:00:00.000Z
6.552000004746438,52.928000006335616,2,Hooghalen,2.5,1.5,1987-12-14T00:00:00.000Z
4.971000002648537,52.529000005724484,3,Purmerend,2.7,1.2,1989-12-01T00:00:00.000Z
6.91400000453346,52.771000006469826,4,Emmen,2.2,3,1991-02-15T00:00:00.000Z
6.575000004020713,52.952000006253868,5,Geelbroek,2.6,3,1991-04-25T00:00:00.000Z
6.573000004331402,52.965000006460052,6,Eleveld,2.7,3,1991-08-08T00:00:00.000Z
6.657000004124459,53.358000006225311,7,Middelstum,2.4,3,1991-12-05T00:00:00.000Z
6.572000004777125,52.953000005836735,8,Geelbroek,2.6,3,1992-05-23T00:00:00.000Z
6.562000004981992,52.956000005849354,9,Geelbroek,1.6,3,1992-05-24T00:00:00.000Z
7.032000005345026,52.831000006441478,10,Roswinkel,2.7,1.5,1992-06-11T00:00:00.000Z
6.57000000405545,52.961000006302697,11,Eleveld,2.5,3,1992-07-22T00:00:00.000Z
6.74000000408396,53.320000006524566,12,Ten Boer,1.3,3,1992-12-06T00:00:00.000Z
6.747000003925158,53.210000006330752,13,Slochteren,1.4,3,1992-12-11T00:00:00.000Z
6.868000004059466,53.294000006529643,14,Noordbroek,1,3,1993-02-12T00:00:00.000Z
6.465000003914903,53.084000006437961,15,Langelo,1.5,3,1993-03-05T00:00:00.000Z
6.805000003862379,53.160000006496986,16,Hoogezand,0.9,3,1993-03-12T00:00:00.000Z
6.795000004470604,53.285000005863331,17,Overschild,1.1,3,1993-03-26T00:00:00.000Z
6.685000005060551,53.177000006365766,18,Haren,1.5,3,1993-05-05T00:00:00.000Z
6.793000004872207,53.305000006325514,19,Ten Post,1.1,3,1993-05-14T00:00:00.000Z
6.650000004713488,53.316000006075093,20,Bedum,1.4,3,1993-06-27T00:00:00.000Z
6.660000004706867,53.315000006255978,21,Stedum,1,3,1993-06-27T00:00:00.000Z
6.837000004915734,53.333000006272272,22,Appingedam,1.4,3,1993-07-10T00:00:00.000Z
6.808000004791404,53.336000006251382,23,Loppersum,0.8,3,1993-07-27T00:00:00.000Z
6.848000003833335,53.332000006337779,24,Nijenklooster,0.7,3,1993-08-23T00:00:00.000Z
6.765000004382266,53.363000006240441,25,Oldenzijl,1.4,3,1993-09-04T00:00:00.000Z
6.675000003993063,53.368000006052831,26,Middelstum,2,3,1993-09-22T00:00:00.000Z
6.812000005158301,53.208000006157064,27,Slochteren,0.9,3,1993-09-25T00:00:00.000Z
6.820000004697392,53.202000006441985,28,Slochteren,2.2,3,1993-11-23T00:00:00.000Z
6.753000004912192,53.294000005929391,29,Ten Post,1.6,3,1993-12-22T00:00:00.000Z
6.77700000384945,53.306000006262487,30,Winneweer,1.3,3,1994-02-04T00:00:00.000Z
7.04500000461729,52.833000005909682,31,Roswinkel,2.9,1.5,1994-02-05T00:00:00.000Z
6.720000004581541,53.370000006290894,32,Garsthuizen,0.6,3,1994-02-28T00:00:00.000Z
6.807000004798004,53.279000006337391,33,Steendam,1.5,3,1994-03-02T00:00:00.000Z
6.805000004240011,53.323000006146721,34,Eenrum,1,3,1994-03-06T00:00:00.000Z
6.808000005002636,53.345000005914571,35,t-Zandt,1.3,3,1994-03-14T00:00:00.000Z
6.680000004623804,53.390000006161195,36,Zandeweer,1.6,3,1994-03-14T00:00:00.000Z
6.747000004485191,53.170000006113639,37,Westerbroek,1.1,3,1994-03-14T00:00:00.000Z
6.962000004273106,53.316000006140008,38,Delfzijl,0.8,3,1994-03-24T00:00:00.000Z
6.828000005154578,53.275000005844781,39,Steendam,1.3,3,1994-04-04T00:00:00.000Z
6.798000004541948,53.194000006049421,40,Kolham,0.9,3,1994-05-07T00:00:00.000Z
6.835000004626282,53.226000006079268,41,Hellum,0.8,3,1994-05-10T00:00:00.000Z
6.950000004945898,53.294000006397503,42,Weiwerd,1,3,1994-06-05T00:00:00.000Z
